Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
17.00,4,0.3329871223569625323453397285,0.359457749692854,0.359457749692854,0.334615349144909,0.334615349144909,0.343577853775821,0.3678154204707579126725228652,0.2467943797280499126725228652,0.121021040742708,5.2685667597827707212414204735,58.40519632138525930445232022,58.405194378247167432990923736,1322803000
17.01,4,0.3329810810334066724213915169,0.359445274746955,0.359445274746955,0.334609278280737,0.334609278280737,0.343486483139615,0.3677234022005929324377681543,0.2467223576301509324377681543,0.121001044570442,5.2672486947761408781494790609,58.396457059541581079746435724,58.39645511347821940481085661,1323581000
17.02,4,0.3329750468745136047539289004,0.359432816008222,0.359432816008222,0.334603214616261,0.334603214616261,0.343395241064813,0.3676315133092177991257850747,0.2466504231077937991257850747,0.120981090201424,5.2659324829846709942563189641,58.38775825738297212771264212,58.387756308401311492794372193,1324359000
17.03,4,0.3329690206328035070712669011,0.359420372763645,0.359420372763645,0.334597158907681,0.334597158907681,0.34330410651432,0.3675397327610465446355248960,0.2465785552242065446355248960,0.12096117753684,5.2646178230957859848169541386,58.379032589843540965009508035,58.379030637937035931491142252,1325137000
17.04,4,0.3329630003050354416064218944,0.359407944459674,0.359407944459674,0.334591109141961,0.334591109141961,0.343213100430066,0.3674480814083803263120771219,0.2465067749305063263120771219,0.120941306477874,5.2633050137967399890433757379,58.370317656139395864774736779,58.370315701309184431647886083,1325915000
17.05,4,0.3329569881322182750760612847,0.359395534797374,0.359395534797374,0.334585067571068,0.334585067571068,0.343122243456468,0.3673565801035204757388108843,0.2464351031778064757388108843,0.120921476925714,5.2619943537747323461475749192,58.361638388718336358672870059,58.361636430970624209034922167,1326693000
17.06,4,0.3329509828668955460805050170,0.359383139110903,0.359383139110903,0.334579032941445,0.334579032941445,0.343031486839349,0.3672651798855815962511447196,0.2463634911040365962511447196,0.120901688781545,5.2606851417167382474275884385,58.352935311098176003491464761,58.35293335042704493844257388,1327471000
17.07,4,0.3329449842616221245984648858,0.359370758606793,0.359370758606793,0.334573005004437,0.334573005004437,0.342940851397544,0.3671739016068476465723961937,0.2462919596602946465723961937,0.120881941946553,5.2593776763097368320954074483,58.344237573985795219584329304,58.344235610391284167439531035,1328249000
17.08,4,0.3329389928016624213870460466,0.359358392791114,0.359358392791114,0.334566984247682,0.334566984247682,0.342850323076958,0.3670827312130039249898003089,0.2462204948910799249898003089,0.120862236321924,5.2580717562404978154060459071,58.335546980779593120214681376,58.33554501426203086989842352,1329028000
17.09,4,0.3329330092395899699606966917,0.359346044846843,0.359346044846843,0.334560971427433,0.334560971427433,0.342759936554929,0.3669917035189492128691918422,0.2461491317101062128691918422,0.120842571808843,5.2567678801957254126145177674,58.326886634603092807233926864,58.326884665167649146117237382,1329806000
17.10,4,0.3329270315722189637491043784,0.359333709837552,0.359333709837552,0.334554964530709,0.334554964530709,0.342669650094538,0.3669007765450861158228090436,0.2460778282365901158228090436,0.120822948308496,5.2554654468619793389758369867,58.318210973531004708410688316,58.318209001173516269755732171,1330584000
17.11,4,0.3329210618619907660761457048,0.359321392654824,0.359321392654824,0.334548965630036,0.334548965630036,0.342579503937768,0.3668099907765900839784279787,0.2460066250545200839784279787,0.12080336572207,5.2541650361466799337019947187,58.309538079159341772031765529,58.309536103879481938039135722,1331362000
17.12,4,0.3329150979744212223177826379,0.359309090848522,0.359309090848522,0.334542972580493,0.334542972580493,0.342489493794779,0.3667193417631573791672625585,0.2459355178124083791672625585,0.120783823950749,5.25286658430394921204800492,58.300904687787332455185163662,58.300902709592172217241520505,1332140000
17.13,4,0.3329091419720500848494329238,0.359296803466377,0.359296803466377,0.334536987454706,0.334536987454706,0.342399576335126,0.3666287862134663413938179640,0.2458644633177463413938179640,0.12076432289572,5.2515694712312664892688815441,58.292246385919150544377730334,58.292244404802598463933074658,1332918000
17.14,4,0.3329031928517222819933404977,0.359284532905325,0.359284532905325,0.334531009244613,0.334531009244613,0.342309800287797,0.3665383729050070998406840744,0.2457935104468380998406840744,0.120744862458169,5.2502743956147248045766157487,58.283597126419246306661210072,58.283595142382308739654648505,1333696000
17.15,4,0.3328973513660644219659458944,0.359272376748681,0.359272376748681,0.334525139195498,0.334525139195498,0.342220109748593,0.3664480528768271132079645594,0.2457226103375451132079645594,0.120725442539282,5.2489806561403232492692442873,58.27497384746544954811885712,58.274971860512248285278543653,1334474000
17.16,4,0.3328914157561739780357825760,0.359260136634402,0.359260136634402,0.334519174561906,0.334519174561906,0.342130574483287,0.3663578818877167355694821202,0.2456518188474717355694821202,0.120706063040245,5.2476890514939287865157355158,58.266339633793499621131027721,58.266337643921107490849840043,1335253000
17.17,4,0.3328854870840866299866369753,0.359247913089017,0.359247913089017,0.33451321690004,0.33451321690004,0.342041176220413,0.3662678487230956346012364262,0.2455811248608526346012364262,0.120686723862243,5.2463994210384953836571489899,58.257708653006210952358812099,58.257706660214460753075209365,1336031000
17.18,4,0.3328795662162891957912344564,0.359235704143603,0.359235704143603,0.334507267080626,0.334507267080626,0.341951874320697,0.3661779127053382494112940141,0.2455104877988772494112940141,0.120667424906461,5.2451111821100128278194302627,58.249109493551802509224123734,58.249107497846169072316730914,1336809000
17.19,4,0.3328737509706741452849252759,0.359223607361815,0.359223607361815,0.334501423399861,0.334501423399861,0.341862654875731,0.3660880667656149522821353120,0.2454399006915279522821353120,0.120648166074087,5.2438242334548823623866616937,58.240490144989087398757786058,58.24048814636441645445064767,1337587000
